ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,DOB,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,Credit Status
5069216,Female,Yes,Yes,0,256500,Commercial associate,Higher education,Married,House / apartment,09-09-1930,1,1,0,0,Accountants,2,bad credit
5069218,Female,Yes,Yes,0,256500,Commercial associate,Higher education,Single / not married,House / apartment,09-09-1930,1,1,0,0,Accountants,2,bad credit
5069307,Male,No,Yes,0,157500,Working,Secondary / secondary special,Married,House / apartment,26-10-1942,1,0,0,0,Core staff,2,bad credit
5078820,Female,No,No,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,19-08-1939,1,0,0,0,High skill tech staff,4,bad credit
5078945,Female,No,Yes,2,180000,Working,Incomplete higher,Separated,House / apartment,18-07-1933,1,1,0,0,Unknown,3,bad credit
5078946,Female,No,Yes,2,180000,Working,Incomplete higher,Separated,House / apartment,18-07-1933,1,1,0,0,Unknown,3,bad credit
5079166,Male,Yes,No,0,202500,Working,Secondary / secondary special,Married,With parents,24-07-1937,1,0,0,0,Laborers,2,bad credit
5079167,Male,Yes,No,0,202500,Working,Secondary / secondary special,Married,With parents,24-07-1937,1,0,0,0,Laborers,2,bad credit
5079168,Male,Yes,No,0,202500,Working,Secondary / secondary special,Married,With parents,24-07-1937,1,0,0,0,Laborers,2,bad credit
5085886,Male,Yes,Yes,0,315000,Commercial associate,Higher education,Married,House / apartment,02-02-1951,1,0,0,0,Managers,2,bad credit
5089162,Female,Yes,No,0,225000,Working,Higher education,Married,House / apartment,24-06-1955,1,1,1,0,Accountants,2,bad credit
5089959,Male,No,Yes,1,126000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,02-12-1934,1,0,0,0,Unknown,3,bad credit
5090166,Female,No,Yes,1,675000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,21-04-1942,1,0,0,0,Security staff,2,bad credit
5090214,Male,Yes,Yes,0,135000,Working,Secondary / secondary special,Married,House / apartment,29-04-1929,1,0,0,0,Laborers,2,bad credit
5090216,Male,Yes,Yes,0,135000,Working,Secondary / secondary special,Married,House / apartment,29-04-1929,1,0,0,0,Laborers,2,bad credit
5092087,Male,Yes,Yes,2,247500,Working,Secondary / secondary special,Married,House / apartment,02-06-1947,1,0,0,0,Laborers,4,bad credit
5092245,Female,No,No,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,14-07-1960,1,0,0,0,Unknown,2,bad credit
5092479,Male,No,No,1,85500,State servant,Secondary / secondary special,Married,Municipal apartment,07-02-1941,1,0,0,0,Core staff,3,bad credit
5096527,Female,No,No,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,15-10-1954,1,0,0,0,Core staff,1,bad credit
5096528,Female,No,No,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,15-10-1954,1,0,0,0,Core staff,1,bad credit
5096743,Female,No,Yes,0,180000,Working,Lower secondary,Widow,House / apartment,01-01-1946,1,1,1,0,Cleaning staff,1,bad credit
5097065,Female,No,Yes,0,121500,Working,Secondary / secondary special,Married,House / apartment,09-12-1951,1,0,0,0,Managers,2,bad credit
5100430,Male,Yes,No,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,26-08-1944,1,0,0,0,Laborers,1,bad credit
5105045,Male,No,Yes,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,20-10-1962,1,0,0,0,Unknown,1,bad credit
5105056,Male,Yes,No,0,166500,Commercial associate,Higher education,Single / not married,Municipal apartment,24-07-1931,1,0,1,1,High skill tech staff,1,bad credit
5106077,Female,No,Yes,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,09-02-1954,1,0,0,0,Medicine staff,2,bad credit
5113621,Male,No,No,0,225000,Working,Secondary / secondary special,Widow,Municipal apartment,16-02-1953,1,0,0,0,Security staff,1,bad credit
5113933,Female,No,No,0,67500,Pensioner,Secondary / secondary special,Widow,House / apartment,17-09-1963,1,0,1,0,Unknown,1,bad credit
5113944,Female,Yes,No,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,09-11-1963,1,0,1,0,Unknown,2,bad credit
5114249,Male,No,No,1,130500,Working,Incomplete higher,Married,Rented apartment,08-01-1931,1,1,1,0,Unknown,3,bad credit
5114253,Male,No,No,1,130500,Working,Incomplete higher,Married,Rented apartment,08-01-1931,1,1,1,0,Unknown,3,bad credit
5115604,Female,No,Yes,0,202500,Working,Secondary / secondary special,Married,House / apartment,05-10-1939,1,0,0,0,Core staff,2,bad credit
5115606,Female,No,Yes,0,202500,Working,Secondary / secondary special,Married,House / apartment,05-10-1939,1,0,0,0,Core staff,2,bad credit
5115608,Female,No,Yes,0,202500,Working,Secondary / secondary special,Married,House / apartment,05-10-1939,1,0,0,0,Core staff,2,bad credit
5115610,Female,No,Yes,0,202500,Working,Secondary / secondary special,Married,House / apartment,05-10-1939,1,0,0,0,Core staff,2,bad credit
5115611,Female,No,Yes,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,05-10-1939,1,0,0,0,Core staff,2,bad credit
5116035,Male,Yes,Yes,0,126000,Working,Higher education,Single / not married,House / apartment,04-10-1939,1,1,0,0,Managers,1,bad credit
5116036,Male,Yes,Yes,0,126000,Working,Higher education,Single / not married,House / apartment,04-10-1939,1,1,0,0,Managers,1,bad credit
5116258,Female,No,Yes,4,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,28-10-1947,1,0,0,0,Core staff,6,bad credit
5116301,Female,No,Yes,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,09-01-1962,1,0,0,0,Unknown,2,bad credit
5116302,Female,No,Yes,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,09-01-1962,1,0,0,0,Unknown,2,bad credit
5116304,Female,No,Yes,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,09-01-1962,1,0,0,0,Unknown,2,bad credit
5116305,Female,No,Yes,0,166500,Pensioner,Secondary / secondary special,Married,House / apartment,09-01-1962,1,0,0,0,Unknown,2,bad credit
5116906,Male,Yes,Yes,0,211500,Pensioner,Secondary / secondary special,Married,House / apartment,12-03-1941,1,0,0,0,Core staff,2,bad credit
5117313,Female,No,Yes,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,26-08-1935,1,1,1,0,Laborers,3,bad credit
5117413,Female,No,No,0,81000,Pensioner,Secondary / secondary special,Separated,House / apartment,29-12-1960,1,0,1,0,Unknown,1,bad credit
5118046,Female,No,No,0,81000,Pensioner,Secondary / secondary special,Widow,House / apartment,09-06-1965,1,0,1,0,Unknown,1,bad credit
5118275,Female,No,No,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,27-06-1958,1,0,0,0,Unknown,2,bad credit
5118278,Female,No,No,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,27-06-1958,1,0,0,0,Unknown,2,bad credit
5118279,Female,No,No,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,27-06-1958,1,0,0,0,Unknown,2,bad credit
5118280,Female,No,No,0,112500,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,27-06-1958,1,0,0,0,Unknown,2,bad credit
5118283,Male,No,No,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,27-06-1958,1,0,0,0,Unknown,2,bad credit
5118541,Female,No,Yes,0,72000,Working,Secondary / secondary special,Married,House / apartment,22-08-1949,1,0,1,0,Laborers,2,bad credit
5125289,Female,No,No,1,202500,Working,Secondary / secondary special,Separated,House / apartment,28-02-1938,1,0,0,0,Laborers,2,bad credit
5125299,Female,No,Yes,0,148500,Pensioner,Secondary / secondary special,Married,House / apartment,26-01-1957,1,0,0,0,Unknown,2,bad credit
5125708,Female,Yes,Yes,0,135000,Working,Lower secondary,Married,House / apartment,07-12-1944,1,0,1,0,High skill tech staff,2,bad credit
5125716,Female,Yes,Yes,0,135000,Working,Lower secondary,Married,House / apartment,07-12-1944,1,0,1,0,High skill tech staff,2,bad credit
5125761,Male,No,Yes,0,270000,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,02-05-1949,1,0,0,0,Cooking staff,1,bad credit
5125763,Male,Yes,No,1,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,03-09-1935,1,0,1,0,Laborers,3,bad credit
5125934,Female,No,Yes,2,135000,Commercial associate,Lower secondary,Civil marriage,With parents,31-12-1926,1,1,0,0,Sales staff,4,bad credit
5135344,Male,No,Yes,0,112500,Commercial associate,Higher education,Married,House / apartment,14-01-1955,1,0,0,0,Security staff,2,bad credit
5135345,Male,No,Yes,0,112500,Commercial associate,Higher education,Married,House / apartment,14-01-1955,1,0,0,0,Security staff,2,bad credit
5135346,Male,No,Yes,0,112500,Commercial associate,Higher education,Married,House / apartment,14-01-1955,1,0,0,0,Security staff,2,bad credit
5135485,Female,No,Yes,0,135000,State servant,Higher education,Single / not married,Municipal apartment,08-03-1929,1,0,0,0,Core staff,1,bad credit
5135487,Female,No,Yes,0,135000,State servant,Higher education,Single / not married,Municipal apartment,08-03-1929,1,0,0,0,Core staff,1,bad credit
5135636,Male,Yes,Yes,0,195750,Working,Secondary / secondary special,Married,House / apartment,27-07-1951,1,1,1,0,Laborers,2,bad credit
5135990,Female,No,Yes,1,585000,Commercial associate,Higher education,Single / not married,House / apartment,21-07-1928,1,0,0,0,Managers,2,bad credit
5135991,Female,No,Yes,1,585000,Commercial associate,Higher education,Single / not married,House / apartment,21-07-1928,1,0,0,0,Managers,2,bad credit
5142183,Male,Yes,Yes,2,166500,Commercial associate,Higher education,Married,House / apartment,04-11-1948,1,1,1,0,Managers,4,bad credit
5142184,Male,Yes,Yes,2,450000,Commercial associate,Higher education,Married,House / apartment,04-11-1948,1,1,1,0,Managers,4,bad credit
5142185,Male,Yes,Yes,2,450000,Commercial associate,Higher education,Married,House / apartment,04-11-1948,1,1,1,0,Managers,4,bad credit
5142361,Male,Yes,Yes,1,112500,Working,Secondary / secondary special,Married,House / apartment,12-05-1944,1,1,1,0,Drivers,3,bad credit
5142362,Male,Yes,Yes,1,112500,Working,Secondary / secondary special,Married,House / apartment,12-05-1944,1,1,1,0,Drivers,3,bad credit
5142456,Female,No,No,0,67500,Commercial associate,Higher education,Separated,House / apartment,20-11-1951,1,0,1,0,Core staff,1,bad credit
5142458,Female,No,Yes,0,67500,Commercial associate,Higher education,Separated,House / apartment,20-11-1951,1,0,1,0,Core staff,1,bad credit
5142459,Female,No,Yes,0,67500,Commercial associate,Higher education,Separated,House / apartment,20-11-1951,1,0,1,0,Core staff,1,bad credit
5143342,Male,No,No,1,216000,Working,Secondary / secondary special,Married,Municipal apartment,11-06-1935,1,0,0,1,Laborers,3,bad credit
5145690,Female,No,Yes,0,306000,Pensioner,Higher education,Married,House / apartment,09-02-1959,1,0,0,0,Unknown,2,bad credit
5145817,Female,No,Yes,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,05-04-1960,1,0,0,0,Unknown,2,bad credit
5146005,Male,Yes,Yes,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,11-11-1927,1,0,0,1,Managers,1,bad credit
5146079,Female,No,Yes,1,108000,Working,Secondary / secondary special,Married,House / apartment,31-10-1934,1,1,1,0,Sales staff,3,bad credit
5146167,Female,No,Yes,0,135000,Working,Secondary / secondary special,Married,House / apartment,26-07-1955,1,0,0,0,Security staff,2,bad credit
5146444,Female,No,Yes,0,135000,Working,Secondary / secondary special,Widow,House / apartment,29-05-1939,1,0,1,0,Managers,1,bad credit
5148932,Male,Yes,No,0,108000,Working,Secondary / secondary special,Married,Office apartment,11-02-1947,1,0,0,0,Security staff,2,bad credit
5148934,Male,Yes,No,0,108000,Working,Secondary / secondary special,Married,Office apartment,11-02-1947,1,0,0,0,Security staff,2,bad credit
5149188,Male,Yes,No,1,450000,Working,Higher education,Married,House / apartment,16-12-1926,1,0,1,1,Core staff,3,bad credit
5149190,Male,Yes,No,1,450000,Working,Higher education,Married,House / apartment,16-12-1926,1,0,1,1,Core staff,3,bad credit
5149828,Male,Yes,Yes,0,315000,Working,Secondary / secondary special,Married,House / apartment,30-06-1947,1,0,0,0,Managers,2,bad credit
5149834,Female,No,Yes,0,157500,Commercial associate,Higher education,Married,House / apartment,29-11-1933,1,0,1,1,Medicine staff,2,bad credit
5149838,Female,No,Yes,0,157500,Pensioner,Higher education,Married,House / apartment,29-11-1933,1,0,1,1,Medicine staff,2,bad credit
5118538,Female,No,Yes,1,81000,Working,Secondary / secondary special,Married,Municipal apartment,12-02-1943,1,1,1,0,Cleaning staff,3,Good credit
5069057,Male,Yes,No,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,17-08-1948,1,0,0,0,Laborers,2,Good credit
5066689,Female,No,Yes,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,11-06-1935,1,0,1,1,Sales staff,2,Good credit
5086062,Female,No,Yes,0,135000,State servant,Secondary / secondary special,Married,House / apartment,28-03-1956,1,0,1,0,Core staff,2,Good credit
5113717,Female,No,No,1,135000,Working,Secondary / secondary special,Married,House / apartment,09-12-1944,1,0,0,1,Private service staff,3,Good credit
5066765,Female,No,Yes,1,63000,Commercial associate,Secondary / secondary special,Married,House / apartment,01-11-1939,1,0,0,0,Sales staff,3,Good credit
5105227,Female,No,Yes,0,135000,Working,Secondary / secondary special,Married,House / apartment,17-07-1947,1,0,0,0,Laborers,2,Good credit
5054648,Female,No,Yes,0,112500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,11-05-1966,1,0,0,0,Unknown,1,Good credit
5067187,Female,No,Yes,0,112500,Working,Higher education,Married,House / apartment,19-04-1931,1,1,0,0,Core staff,2,Good credit
5105818,Female,No,Yes,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,05-06-1960,1,0,1,0,Unknown,2,Good credit
5033574,Female,Yes,Yes,1,166500,Working,Secondary / secondary special,Married,House / apartment,08-12-1938,1,1,1,0,Cooking staff,3,Good credit
5125478,Female,No,Yes,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,25-07-1956,1,0,0,0,Unknown,2,Good credit
5046340,Male,No,Yes,1,180000,Working,Lower secondary,Married,House / apartment,19-12-1928,1,1,0,0,Unknown,3,Good credit
5022326,Male,Yes,Yes,0,256500,Commercial associate,Higher education,Married,House / apartment,14-11-1958,1,0,0,1,Core staff,2,Good credit
5065764,Female,No,Yes,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,15-05-1940,1,0,0,0,Unknown,1,Good credit
5067849,Female,No,Yes,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,25-05-1940,1,0,0,0,Unknown,1,Good credit
5097169,Female,No,No,0,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,18-05-1929,1,0,0,0,Sales staff,1,Good credit
5048583,Female,No,Yes,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,29-01-1959,1,0,0,0,Unknown,2,Good credit
5115566,Male,No,Yes,0,126000,Pensioner,Secondary / secondary special,Married,Rented apartment,23-02-1945,1,0,0,0,Unknown,2,Good credit
5052722,Female,No,No,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,21-11-1959,1,0,0,0,Unknown,2,Good credit
5067723,Female,No,Yes,1,337500,Working,Academic degree,Single / not married,House / apartment,16-05-1934,1,0,0,0,Unknown,2,Good credit
5056077,Male,Yes,Yes,0,90000,Working,Secondary / secondary special,Married,House / apartment,10-04-1933,1,0,0,0,Core staff,2,Good credit
5022275,Male,Yes,Yes,0,131400,Pensioner,Secondary / secondary special,Married,House / apartment,26-09-1964,1,0,0,0,Unknown,2,Good credit
5143016,Male,No,No,0,180000,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,24-10-1939,1,0,0,0,Laborers,2,Good credit
5066709,Female,No,Yes,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,08-02-1967,1,0,0,0,Unknown,1,Good credit
5021445,Female,No,Yes,0,121500,Working,Secondary / secondary special,Married,With parents,14-06-1936,1,1,1,0,Core staff,2,Good credit
5053592,Female,No,Yes,1,117000,Working,Lower secondary,Widow,House / apartment,10-04-1948,1,0,1,0,Unknown,2,Good credit
5116163,Female,No,Yes,2,90000,Working,Secondary / secondary special,Married,House / apartment,06-02-1927,1,0,0,0,Security staff,4,Good credit
5041273,Male,No,Yes,0,445500,Commercial associate,Higher education,Separated,House / apartment,31-10-1952,1,0,0,0,Unknown,1,Good credit
5066627,Male,Yes,Yes,0,157500,Working,Secondary / secondary special,Married,House / apartment,27-12-1942,1,0,0,0,Unknown,2,Good credit
